FID,SHAPE,NAME,ADRESSE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,WEBLINK1
POLIZEIOGD.1065089,POINT (16.404345725628414 48.196274616630845),Polizeiinspektion Fiakerplatz,"3., Fiakerplatz 4",1065089,,http://www.polizei.gv.at/
POLIZEIOGD.1065090,POINT (16.416770388956433 48.29370995147974),Polizeiinspektion Kummergasse,"21., Kummergasse 7",1065090,,http://www.polizei.gv.at/
POLIZEIOGD.1065091,POINT (16.259602048451292 48.20164236623047),Polizeiinspektion Linzer Straße,"14., Linzer Straße 395",1065091,,http://www.polizei.gv.at/
POLIZEIOGD.1065094,POINT (16.32800474156539 48.24211663073),Polizeiinspektion Krottenbachstraße,"19., Krottenbachstraße 106",1065094,,http://www.polizei.gv.at/
POLIZEIOGD.1065095,POINT (16.347962243890052 48.21041388126578),Polizeiinspektion Fuhrmannsgasse,"8., Fuhrmannsgasse 5",1065095,,http://www.polizei.gv.at/
POLIZEIOGD.1065096,POINT (16.382758473079136 48.163822447394125),Polizeiinspektion Favoritenstraße,"10., Favoritenstraße 211",1065096,,http://www.polizei.gv.at/
POLIZEIOGD.1065098,POINT (16.319388983223625 48.23816900838161),Polizeiinspektion Gersthofer Straße,"18., Gersthofer Straße 135",1065098,,http://www.polizei.gv.at/
POLIZEIOGD.1065099,POINT (16.31354518344781 48.149980160165896),Polizeiinspektion Anton-Baumgartner Straße,"23., Anton-Baumgartner-Straße 125",1065099,,http://www.polizei.gv.at/
POLIZEIOGD.1065100,POINT (16.33900551264115 48.201535646026194),Polizeiinspektion Urban-Loritz-Platz,"7., Urban-Loritz-Platz 7",1065100,,http://www.polizei.gv.at/
POLIZEIOGD.1065101,POINT (16.39099080197329 48.21842792651906),Polizeiinspektion Praterstern,"2., Praterstern",1065101,,http://www.polizei.gv.at/
POLIZEIOGD.1065103,POINT (16.36729922945971 48.20400195548838),Polizeiinspektion Goethegasse,"1., Goethegasse 1",1065103,,http://www.polizei.gv.at/
POLIZEIOGD.1065104,POINT (16.385297974835712 48.152771796976744),Polizeiinspektion Ada-Christen-Gasse,"10., Ada-Christen-Gasse 2",1065104,,http://www.polizei.gv.at/
POLIZEIOGD.1065105,POINT (16.36716945352828 48.18808754076806),Polizeiinspektion Rainergasse,"4., Rainergasse 21",1065105,,http://www.polizei.gv.at/
POLIZEIOGD.1065106,POINT (16.318547849906967 48.21369473801383),Polizeiinspektion Wattgasse,"16., Wattgasse 15",1065106,,http://www.polizei.gv.at/
POLIZEIOGD.1065107,POINT (16.384793211063442 48.23506885439811),Polizeiinspektion Pasettistraße,"20., Pasettistraße 81-83",1065107,,http://www.polizei.gv.at/
POLIZEIOGD.1065108,POINT (16.528201857144666 48.217881638548484),Polizeiinspektion Rosenbergstraße,"22., Rosenbergstraße 37",1065108,,http://www.polizei.gv.at/
POLIZEIOGD.1065109,POINT (16.34342947841161 48.24509630335921),Polizeiinspektion Billrothstraße,"19., Billrothstraße 79A",1065109,,http://www.polizei.gv.at/
POLIZEIOGD.1065110,POINT (16.469774584648878 48.15277173334041),Polizeiinspektion Sängergasse,"11., Sängergasse 11",1065110,,http://www.polizei.gv.at/
POLIZEIOGD.1065111,POINT (16.361272722302505 48.22612635480198),Polizeiinspektion Julius-Tandler-Platz,"9., Julius-Tandler-Platz 3",1065111,,http://www.polizei.gv.at/
POLIZEIOGD.1065113,POINT (16.34626266987875 48.20290884981358),Polizeiinspektion Kandlgasse,"7., Kandlgasse 4",1065113,,http://www.polizei.gv.at/
POLIZEIOGD.1065114,POINT (16.41324324612067 48.17517576538795),Polizeiinspektion Sedlitzkygasse,"11., Sedlitzkygasse 27",1065114,,http://www.polizei.gv.at/
POLIZEIOGD.1065115,POINT (16.280907917985726 48.13549364087686),Polizeiinspektion Lehmanngasse,"23., Lehmanngasse 3A",1065115,,http://www.polizei.gv.at/
POLIZEIOGD.1065116,POINT (16.36377099232943 48.21490511563443),Polizeiinspektion Schottenring,"1., Schottenring 7-9",1065116,,http://www.polizei.gv.at/
POLIZEIOGD.1065117,POINT (16.469881563038793 48.23495436497951),Polizeiinspektion Quadenstraße,"22., Quadenstraße 8",1065117,,http://www.polizei.gv.at/
POLIZEIOGD.1065118,POINT (16.344227479623317 48.194311880633215),Polizeiinspektion Stumpergasse,"6., Stumpergasse 42",1065118,,http://www.polizei.gv.at/
POLIZEIOGD.1065120,POINT (16.306437096128807 48.213927256889725),Polizeiinspektion Maroltingergasse,"16., Maroltingergasse 79",1065120,,http://www.polizei.gv.at/
POLIZEIOGD.1065121,POINT (16.464341285530942 48.159904716089386),Polizeiinspektion Kaiser-Ebersdorfer Straße,"11., Kaiser-Ebersdorfer Straße 290",1065121,,http://www.polizei.gv.at/
POLIZEIOGD.1065122,POINT (16.39728764472064 48.26031581677159),Polizeiinspektion Hermann-Bahr-Straße,"21., Hermann-Bahr-Straße 3",1065122,,http://www.polizei.gv.at/
POLIZEIOGD.1065123,POINT (16.320454941722584 48.19823025812394),Polizeiinspektion Wurmsergasse,"15., Wurmsergasse 35",1065123,,http://www.polizei.gv.at/
POLIZEIOGD.1065124,POINT (16.377032990979004 48.17943738107042),Polizeiinspektion Keplergasse,"10., Keplergasse 10",1065124,,http://www.polizei.gv.at/
POLIZEIOGD.1065125,POINT (16.356523551522347 48.223653102863985),Polizeiinspektion Boltzmanngasse,"9., Boltzmanngasse 20",1065125,,http://www.polizei.gv.at/
POLIZEIOGD.1065126,POINT (16.37881769587403 48.20001489551002),Polizeiinspektion Marokkanergasse,"3., Marokkanergasse 4",1065126,,http://www.polizei.gv.at/
POLIZEIOGD.1065128,POINT (16.277302177499944 48.18968814303218),Polizeiinspektion Preindlgasse,"13., Preindlgasse 21-23",1065128,,http://www.polizei.gv.at/
POLIZEIOGD.1065129,POINT (16.333374561584808 48.20653414519167),Polizeiinspektion Koppstraße,"16., Koppstraße 9-11",1065129,,http://www.polizei.gv.at/
POLIZEIOGD.1065130,POINT (16.368195779137377 48.21734772126813),Polizeiinspektion Deutschmeisterplatz,"1., Deutschmeisterplatz 3",1065130,,http://www.polizei.gv.at/
POLIZEIOGD.1065131,POINT (16.37640354561627 48.2196930140366),Polizeiinspektion Leopoldsgasse,"2., Leopoldsgasse 18",1065131,,http://www.polizei.gv.at/
POLIZEIOGD.1065132,POINT (16.361756956440306 48.159547726423085),Polizeiinspektion Sibeliusstraße,"10., Sibeliusstraße 8",1065132,,http://www.polizei.gv.at/
POLIZEIOGD.1065133,POINT (16.35708907878944 48.19268562492988),Polizeiinspektion Schönbrunner Straße,"5., Schönbrunner Straße 34",1065133,,http://www.polizei.gv.at/
POLIZEIOGD.1065134,POINT (16.334344622221966 48.22743889760684),Polizeiinspektion Schulgasse,"18., Schulgasse 88",1065134,,http://www.polizei.gv.at/
POLIZEIOGD.1065135,POINT (16.331227804144277 48.219505921790834),Polizeiinspektion Rötzergasse,"17., Rötzergasse 24-26",1065135,,http://www.polizei.gv.at/
POLIZEIOGD.1065136,POINT (16.292983629544562 48.183133100602085),Polizeiinspektion Lainzer Straße,"13., Lainzer Straße 49-51",1065136,,http://www.polizei.gv.at/
