FID,OBJECTID,SHAPE,SE_ANNO_CAD_DATA
HYDRANTOGD.3325644,3325644,POINT (16.471793903779403 48.20431151386012),
HYDRANTOGD.3325645,3325645,POINT (16.329999222917962 48.21545867076392),
HYDRANTOGD.3325646,3325646,POINT (16.38030868401678 48.1407283073225),
HYDRANTOGD.3325647,3325647,POINT (16.371911227351845 48.243039347369276),
HYDRANTOGD.3325648,3325648,POINT (16.423789843365466 48.2613869127991),
HYDRANTOGD.3325649,3325649,POINT (16.362987448673085 48.203166941219784),
HYDRANTOGD.3325650,3325650,POINT (16.459278284235534 48.225692568303806),
HYDRANTOGD.3325651,3325651,POINT (16.3088147482328 48.213166842785355),
HYDRANTOGD.3325652,3325652,POINT (16.20748251020661 48.21211058731269),
HYDRANTOGD.3325653,3325653,POINT (16.278456990411907 48.16180306334475),
HYDRANTOGD.3325654,3325654,POINT (16.373864579239882 48.181175417605346),
HYDRANTOGD.3325655,3325655,POINT (16.47398393833659 48.16481539443309),
HYDRANTOGD.3325656,3325656,POINT (16.372754460969638 48.210117773454876),
HYDRANTOGD.3325657,3325657,POINT (16.289475889107305 48.189530672963976),
HYDRANTOGD.3325658,3325658,POINT (16.312033793104987 48.21850976125745),
HYDRANTOGD.3325659,3325659,POINT (16.372299539725727 48.22153887780895),
HYDRANTOGD.3325660,3325660,POINT (16.370840212618855 48.20471922406885),
HYDRANTOGD.3325661,3325661,POINT (16.395876101501628 48.19276929048831),
HYDRANTOGD.3325662,3325662,POINT (16.264967610709782 48.150781107983455),
HYDRANTOGD.3325663,3325663,POINT (16.465311177254044 48.22897276035431),
HYDRANTOGD.3325664,3325664,POINT (16.464545698545226 48.21439274157284),
HYDRANTOGD.3325665,3325665,POINT (16.43837863406949 48.272916483412594),
HYDRANTOGD.3325666,3325666,POINT (16.259250138114854 48.14967836236571),
HYDRANTOGD.3325667,3325667,POINT (16.422647745341422 48.27451983066748),
HYDRANTOGD.3325668,3325668,POINT (16.4387934940541 48.25837177193781),
HYDRANTOGD.3325669,3325669,POINT (16.339547061283202 48.23376929333431),
HYDRANTOGD.3325670,3325670,POINT (16.382729081233286 48.212469468295566),
HYDRANTOGD.3325671,3325671,POINT (16.352710599099968 48.237896336781446),
HYDRANTOGD.3325672,3325672,POINT (16.305793824226257 48.23833846213579),
HYDRANTOGD.3325673,3325673,POINT (16.436624616977724 48.24571716486906),
HYDRANTOGD.3325674,3325674,POINT (16.432216810212392 48.258111624037575),
HYDRANTOGD.3325675,3325675,POINT (16.273300602309842 48.13585468686898),
HYDRANTOGD.3325676,3325676,POINT (16.488771345518455 48.28521429003508),
HYDRANTOGD.3325677,3325677,POINT (16.377603821251817 48.24349866131784),
HYDRANTOGD.3325678,3325678,POINT (16.529314643083072 48.21613860609348),
HYDRANTOGD.3325679,3325679,POINT (16.274095545096525 48.14202397318907),
HYDRANTOGD.3325680,3325680,POINT (16.44438020289892 48.21455032354429),
HYDRANTOGD.3325681,3325681,POINT (16.284837363569775 48.23399256140547),
HYDRANTOGD.3325682,3325682,POINT (16.295145693989465 48.20451891056929),
HYDRANTOGD.3325683,3325683,POINT (16.333802904018956 48.14761787635445),
HYDRANTOGD.3325684,3325684,POINT (16.420495002446117 48.30225645350325),
HYDRANTOGD.3325685,3325685,POINT (16.43206760660238 48.28529971336185),
HYDRANTOGD.3325686,3325686,POINT (16.385002510916188 48.16882100410025),
HYDRANTOGD.3325687,3325687,POINT (16.34825774083875 48.243068303129355),
HYDRANTOGD.3325688,3325688,POINT (16.268797363239766 48.18794581434717),
HYDRANTOGD.3325689,3325689,POINT (16.248341104279504 48.203601775016594),
HYDRANTOGD.3325690,3325690,POINT (16.278059928613768 48.253547764350024),
HYDRANTOGD.3325439,3325439,POINT (16.45035711504284 48.222534214975255),
HYDRANTOGD.3325440,3325440,POINT (16.39425667388656 48.1989736019357),
HYDRANTOGD.3325441,3325441,POINT (16.472654362527614 48.24213849603803),
HYDRANTOGD.3325442,3325442,POINT (16.502146327215307 48.25619054115883),
HYDRANTOGD.3325443,3325443,POINT (16.303353426066362 48.169512318036276),
HYDRANTOGD.3325444,3325444,POINT (16.369150138424033 48.19252819204036),
HYDRANTOGD.3325445,3325445,POINT (16.4612228704966 48.16087232091661),
HYDRANTOGD.3325446,3325446,POINT (16.40225436947503 48.27420463400903),
HYDRANTOGD.3325447,3325447,POINT (16.325450173395332 48.2025274134605),
HYDRANTOGD.3325448,3325448,POINT (16.460260159687795 48.21786737467976),
HYDRANTOGD.3325449,3325449,POINT (16.37433367044718 48.24189599002576),
HYDRANTOGD.3325450,3325450,POINT (16.44486988484197 48.16379837145385),
HYDRANTOGD.3325451,3325451,POINT (16.506689967516177 48.208707918200595),
HYDRANTOGD.3325452,3325452,POINT (16.350449730618834 48.241132819204715),
HYDRANTOGD.3325453,3325453,POINT (16.251927532040384 48.219346430387304),
HYDRANTOGD.3325454,3325454,POINT (16.376482324801728 48.14937628446249),
HYDRANTOGD.3325455,3325455,POINT (16.483762425744118 48.29273371915551),
HYDRANTOGD.3325456,3325456,POINT (16.39271042285688 48.132704086448165),
HYDRANTOGD.3325457,3325457,POINT (16.304210350358616 48.14172869150083),
HYDRANTOGD.3325458,3325458,POINT (16.375815862777465 48.17310684628575),
HYDRANTOGD.3325459,3325459,POINT (16.319986936482298 48.14621009255935),
HYDRANTOGD.3325460,3325460,POINT (16.345515388547092 48.257717076405896),
HYDRANTOGD.3325461,3325461,POINT (16.32469655038299 48.255917920342),
HYDRANTOGD.3325462,3325462,POINT (16.38970179048674 48.22117027965894),
HYDRANTOGD.3325463,3325463,POINT (16.36952529833164 48.208476785025056),
HYDRANTOGD.3325464,3325464,POINT (16.296446102535402 48.19212494738856),
HYDRANTOGD.3325465,3325465,POINT (16.35233842212643 48.20412070068954),
HYDRANTOGD.3325466,3325466,POINT (16.286401098384285 48.15133861625179),
HYDRANTOGD.3325467,3325467,POINT (16.454945740926863 48.20839169978754),
HYDRANTOGD.3325468,3325468,POINT (16.467730088603705 48.22757463872483),
HYDRANTOGD.3325469,3325469,POINT (16.31958976644962 48.15609957208627),
HYDRANTOGD.3325470,3325470,POINT (16.425080573753675 48.27969231548281),
HYDRANTOGD.3325471,3325471,POINT (16.325761107126592 48.2475300670396),
HYDRANTOGD.3325472,3325472,POINT (16.367008210247224 48.25506564315746),
HYDRANTOGD.3325473,3325473,POINT (16.37480011605772 48.17047928014466),
HYDRANTOGD.3325474,3325474,POINT (16.414381107573373 48.25140667092863),
HYDRANTOGD.3325475,3325475,POINT (16.32872448762164 48.18920505759323),
HYDRANTOGD.3325476,3325476,POINT (16.432066478085943 48.243850923949296),
HYDRANTOGD.3325477,3325477,POINT (16.406889595280738 48.19508147866765),
HYDRANTOGD.3325478,3325478,POINT (16.3470194635104 48.21202660374973),
HYDRANTOGD.3325479,3325479,POINT (16.39185648365474 48.17494136274578),
HYDRANTOGD.3325480,3325480,POINT (16.44473731366984 48.255095606214574),
HYDRANTOGD.3325481,3325481,POINT (16.462958153271046 48.1608404706775),
HYDRANTOGD.3325482,3325482,POINT (16.388192513618765 48.23575713653737),
HYDRANTOGD.3325483,3325483,POINT (16.34204478573068 48.24247659776465),
HYDRANTOGD.3325484,3325484,POINT (16.362940097742115 48.17134304887169),
HYDRANTOGD.3325485,3325485,POINT (16.417326421738178 48.282605964157014),
HYDRANTOGD.3325486,3325486,POINT (16.357426602106564 48.192818032526105),
HYDRANTOGD.3325487,3325487,POINT (16.388411836906435 48.144690308764595),
HYDRANTOGD.3325488,3325488,POINT (16.32357274891301 48.14410269380979),
HYDRANTOGD.3325489,3325489,POINT (16.36383726184035 48.24975580814163),
HYDRANTOGD.3325490,3325490,POINT (16.43078800046011 48.29641519311132),
HYDRANTOGD.3325491,3325491,POINT (16.3195001390535 48.13095552095486),
HYDRANTOGD.3325492,3325492,POINT (16.451229130864206 48.2237623493185),
HYDRANTOGD.3325493,3325493,POINT (16.392240853897498 48.19595589531491),
HYDRANTOGD.3325494,3325494,POINT (16.390165941211908 48.233981024715426),
HYDRANTOGD.3325495,3325495,POINT (16.377122380963236 48.14614913931899),
HYDRANTOGD.3325496,3325496,POINT (16.4591309859377 48.236254840006616),
HYDRANTOGD.3325497,3325497,POINT (16.440518483182 48.17856903288564),
HYDRANTOGD.3325498,3325498,POINT (16.2708277459921 48.137705208404164),
HYDRANTOGD.3325499,3325499,POINT (16.404907283399034 48.25698619154843),
HYDRANTOGD.3325500,3325500,POINT (16.378983670746177 48.2001452349034),
HYDRANTOGD.3325501,3325501,POINT (16.343510497721038 48.22391454071496),
HYDRANTOGD.3325502,3325502,POINT (16.33899420015978 48.19544829833836),
HYDRANTOGD.3325503,3325503,POINT (16.330368554504897 48.15624783023053),
HYDRANTOGD.3325504,3325504,POINT (16.33364498213816 48.17703042934144),
HYDRANTOGD.3325505,3325505,POINT (16.28764071702721 48.14752428990255),
HYDRANTOGD.3325506,3325506,POINT (16.44963824046375 48.279835614290775),
HYDRANTOGD.3325507,3325507,POINT (16.319022222232093 48.12586461237456),
HYDRANTOGD.3325508,3325508,POINT (16.4088998449891 48.28014283529284),
HYDRANTOGD.3325509,3325509,POINT (16.469362773341505 48.214119170605926),
HYDRANTOGD.3325510,3325510,POINT (16.282228049462905 48.1587434978042),
HYDRANTOGD.3325511,3325511,POINT (16.398431105214996 48.19751679069388),
HYDRANTOGD.3325512,3325512,POINT (16.351624949051953 48.13780674914609),
HYDRANTOGD.3325513,3325513,POINT (16.336650234373504 48.17905293924776),
HYDRANTOGD.3325514,3325514,POINT (16.5366255719858 48.211151869822395),
HYDRANTOGD.3325515,3325515,POINT (16.265679797896063 48.154784898183046),
HYDRANTOGD.3325516,3325516,POINT (16.354964296710076 48.249942273664644),
HYDRANTOGD.3325517,3325517,POINT (16.411160235081887 48.21723517764743),
HYDRANTOGD.3325518,3325518,POINT (16.349066025943934 48.21255824640298),
HYDRANTOGD.3325519,3325519,POINT (16.428031732346096 48.26678429943152),
HYDRANTOGD.3325520,3325520,POINT (16.41745560138041 48.17334717977386),
HYDRANTOGD.3325521,3325521,POINT (16.49477070411591 48.21683413534485),
HYDRANTOGD.3325522,3325522,POINT (16.331838612882166 48.18529406689174),
HYDRANTOGD.3325523,3325523,POINT (16.473250403158495 48.22276080422832),
HYDRANTOGD.3325524,3325524,POINT (16.382492099799766 48.196511880383305),
HYDRANTOGD.3325525,3325525,POINT (16.380767226639207 48.2014450600666),
HYDRANTOGD.3325526,3325526,POINT (16.407797718824174 48.197147858756175),
HYDRANTOGD.3325527,3325527,POINT (16.335813522665685 48.24917869509597),
HYDRANTOGD.3325528,3325528,POINT (16.365196654081334 48.19102191155307),
HYDRANTOGD.3325529,3325529,POINT (16.292769193954857 48.15029624497937),
HYDRANTOGD.3325530,3325530,POINT (16.481853524583236 48.21848628920332),
HYDRANTOGD.3325531,3325531,POINT (16.295837633255953 48.14120355716062),
HYDRANTOGD.3325532,3325532,POINT (16.28176213108247 48.151263043711666),
HYDRANTOGD.3325533,3325533,POINT (16.42483470357625 48.22377218093395),
HYDRANTOGD.3325534,3325534,POINT (16.32681563199915 48.18686254891211),
HYDRANTOGD.3325535,3325535,POINT (16.286992052285985 48.17781957310141),
HYDRANTOGD.3325536,3325536,POINT (16.376006735230476 48.18308080561868),
HYDRANTOGD.3325537,3325537,POINT (16.49740434598644 48.25109909929603),
HYDRANTOGD.3325538,3325538,POINT (16.323454025303036 48.136150639222244),
HYDRANTOGD.3325539,3325539,POINT (16.398293530803354 48.13487892491959),
HYDRANTOGD.3325540,3325540,POINT (16.33201338775908 48.21654927660422),
HYDRANTOGD.3325541,3325541,POINT (16.468428814243293 48.22947112067808),
HYDRANTOGD.3325542,3325542,POINT (16.318355110161416 48.15997719065022),
HYDRANTOGD.3325543,3325543,POINT (16.391889227716135 48.20484438664854),
HYDRANTOGD.3325544,3325544,POINT (16.315769811264417 48.21650343192867),
HYDRANTOGD.3325545,3325545,POINT (16.272683672505405 48.13506885625277),
HYDRANTOGD.3325546,3325546,POINT (16.373854079757812 48.177319936586436),
HYDRANTOGD.3325547,3325547,POINT (16.337101211272675 48.19019635565112),
HYDRANTOGD.3325548,3325548,POINT (16.23249875222754 48.21042647216916),
HYDRANTOGD.3325549,3325549,POINT (16.243314126865812 48.21982470418015),
HYDRANTOGD.3325550,3325550,POINT (16.352957474799517 48.20662765131963),
HYDRANTOGD.3325551,3325551,POINT (16.342310018400642 48.21073555595493),
HYDRANTOGD.3325552,3325552,POINT (16.49496264799928 48.21789461413158),
HYDRANTOGD.3325553,3325553,POINT (16.25501953595322 48.217752849612985),
HYDRANTOGD.3325554,3325554,POINT (16.285411497906974 48.13240076120247),
HYDRANTOGD.3325555,3325555,POINT (16.42024571343506 48.17792610513135),
HYDRANTOGD.3325556,3325556,POINT (16.31131862734279 48.24096143733548),
HYDRANTOGD.3325557,3325557,POINT (16.3566638588007 48.18550327713177),
HYDRANTOGD.3325558,3325558,POINT (16.344813291386593 48.18897796875388),
HYDRANTOGD.3325559,3325559,POINT (16.275442078149325 48.25321321975677),
HYDRANTOGD.3325560,3325560,POINT (16.27353420610741 48.21474513238353),
HYDRANTOGD.3325561,3325561,POINT (16.440548982095557 48.25024078194916),
HYDRANTOGD.3325562,3325562,POINT (16.321709736863923 48.16057597929674),
HYDRANTOGD.3325563,3325563,POINT (16.279388747982225 48.17332782590599),
HYDRANTOGD.3325564,3325564,POINT (16.351613248497383 48.20753955880342),
HYDRANTOGD.3325565,3325565,POINT (16.300329540892392 48.22157159808038),
HYDRANTOGD.3325566,3325566,POINT (16.394048083556406 48.26449568699607),
HYDRANTOGD.3325567,3325567,POINT (16.28349416097344 48.23548805339236),
HYDRANTOGD.3325568,3325568,POINT (16.352412378712 48.182879560854076),
HYDRANTOGD.3325569,3325569,POINT (16.44329106244929 48.28513640947493),
HYDRANTOGD.3325570,3325570,POINT (16.305911844814773 48.218858971771574),
HYDRANTOGD.3325571,3325571,POINT (16.316543147092464 48.13555072063702),
HYDRANTOGD.3325572,3325572,POINT (16.366289582281894 48.208837138848835),
HYDRANTOGD.3325573,3325573,POINT (16.33891736093499 48.21775178130455),
HYDRANTOGD.3325574,3325574,POINT (16.359933521469028 48.17597464235837),
HYDRANTOGD.3325575,3325575,POINT (16.294692434668953 48.18163873151996),
HYDRANTOGD.3325576,3325576,POINT (16.39882775543015 48.19649575722027),
HYDRANTOGD.3325577,3325577,POINT (16.322370296404475 48.2145511451805),
HYDRANTOGD.3325578,3325578,POINT (16.427114237968585 48.257634953007795),
HYDRANTOGD.3325579,3325579,POINT (16.42842307463561 48.257514552628834),
HYDRANTOGD.3325580,3325580,POINT (16.29498581729775 48.140891857237655),
HYDRANTOGD.3325581,3325581,POINT (16.296292369931564 48.14077217448634),
HYDRANTOGD.3325582,3325582,POINT (16.29775939989615 48.13909242398739),
HYDRANTOGD.3325583,3325583,POINT (16.348813011167593 48.18992919251628),
HYDRANTOGD.3325584,3325584,POINT (16.347936708474627 48.19111496855598),
HYDRANTOGD.3325585,3325585,POINT (16.313821420823427 48.12570783666502),
HYDRANTOGD.3325586,3325586,POINT (16.276013715836125 48.134708314190796),
HYDRANTOGD.3325587,3325587,POINT (16.377571515179103 48.154725270315254),
HYDRANTOGD.3325132,3325132,POINT (16.362323420741713 48.20114372682522),
HYDRANTOGD.3325133,3325133,POINT (16.40142982036918 48.2164147497077),
HYDRANTOGD.3325134,3325134,POINT (16.344324420219387 48.2333264857259),
HYDRANTOGD.3325135,3325135,POINT (16.411819047067404 48.27099931155224),
HYDRANTOGD.3325136,3325136,POINT (16.243697516220966 48.208582455867955),
HYDRANTOGD.3325137,3325137,POINT (16.311083390394373 48.22289828175894),
HYDRANTOGD.3325138,3325138,POINT (16.36559055608454 48.262513559976604),
HYDRANTOGD.3325139,3325139,POINT (16.39549497364852 48.20397941311697),
HYDRANTOGD.3325140,3325140,POINT (16.333425952290472 48.216338601403656),
HYDRANTOGD.3325141,3325141,POINT (16.373362141291746 48.19445189673657),
HYDRANTOGD.3325142,3325142,POINT (16.325917348520594 48.23356930452073),
HYDRANTOGD.3325143,3325143,POINT (16.46631564357297 48.15524605607547),
HYDRANTOGD.3325144,3325144,POINT (16.356139012960615 48.20047497578054),
HYDRANTOGD.3325145,3325145,POINT (16.35981543188758 48.194377973691175),
HYDRANTOGD.3325146,3325146,POINT (16.42649615273563 48.30355228267357),
HYDRANTOGD.3325147,3325147,POINT (16.387603684505535 48.20531313434569),
HYDRANTOGD.3325148,3325148,POINT (16.437524818746404 48.257333925605835),
HYDRANTOGD.3325149,3325149,POINT (16.25479320026341 48.19274130804761),
HYDRANTOGD.3325150,3325150,POINT (16.3294433571853 48.18711894657698),
HYDRANTOGD.3325151,3325151,POINT (16.28419716938495 48.17518339363346),
HYDRANTOGD.3325152,3325152,POINT (16.38828689437534 48.15835887135938),
HYDRANTOGD.3325153,3325153,POINT (16.521145898713304 48.23543633718975),
HYDRANTOGD.3325154,3325154,POINT (16.402115226085353 48.265583166342125),
HYDRANTOGD.3325155,3325155,POINT (16.29846826161518 48.194413334689145),
HYDRANTOGD.3325156,3325156,POINT (16.33586898317976 48.1777816585314),
HYDRANTOGD.3325157,3325157,POINT (16.31308014263317 48.21834073277168),
HYDRANTOGD.3325158,3325158,POINT (16.370354000854622 48.19302633228959),
HYDRANTOGD.3325159,3325159,POINT (16.35379940553272 48.209441478820104),
HYDRANTOGD.3325160,3325160,POINT (16.378589969469846 48.181999973215426),
HYDRANTOGD.3325161,3325161,POINT (16.31606559352286 48.201165864543725),
HYDRANTOGD.3325162,3325162,POINT (16.37501583828748 48.169510006058175),
HYDRANTOGD.3325163,3325163,POINT (16.443802560478442 48.28212079214773),
HYDRANTOGD.3325164,3325164,POINT (16.330093213233432 48.21373396609784),
HYDRANTOGD.3325165,3325165,POINT (16.289948838330503 48.14208781363731),
HYDRANTOGD.3325166,3325166,POINT (16.35172553351214 48.18702038388456),
HYDRANTOGD.3325167,3325167,POINT (16.202631323736828 48.21301837070869),
HYDRANTOGD.3325168,3325168,POINT (16.324133802570234 48.19965351121801),
HYDRANTOGD.3325169,3325169,POINT (16.274502709038025 48.19784477019769),
HYDRANTOGD.3325170,3325170,POINT (16.356190091508775 48.20031705183608),
HYDRANTOGD.3325171,3325171,POINT (16.480681403117085 48.24027421561066),
HYDRANTOGD.3325172,3325172,POINT (16.421400526807204 48.30104388418381),
HYDRANTOGD.3325173,3325173,POINT (16.486029912186705 48.283962107000136),
HYDRANTOGD.3325174,3325174,POINT (16.485893265782384 48.23791915636867),
HYDRANTOGD.3325175,3325175,POINT (16.369727508578602 48.253592527794254),
HYDRANTOGD.3325176,3325176,POINT (16.30097312176048 48.1726664433434),
HYDRANTOGD.3325177,3325177,POINT (16.32179577995922 48.14596841208955),
HYDRANTOGD.3325178,3325178,POINT (16.33178195527347 48.23126033261103),
HYDRANTOGD.3325179,3325179,POINT (16.317211011089455 48.22107792233161),
HYDRANTOGD.3325180,3325180,POINT (16.30542584046471 48.14334376533386),
HYDRANTOGD.3325181,3325181,POINT (16.39282479045137 48.166491293505864),
HYDRANTOGD.3325182,3325182,POINT (16.384564450327286 48.14367072031883),
HYDRANTOGD.3325183,3325183,POINT (16.3106931878671 48.19566734734698),
HYDRANTOGD.3325184,3325184,POINT (16.422683736837488 48.297877016818475),
HYDRANTOGD.3325185,3325185,POINT (16.39849885395317 48.13922750055309),
HYDRANTOGD.3325186,3325186,POINT (16.32444495446336 48.138275587892394),
HYDRANTOGD.3325187,3325187,POINT (16.537184429339177 48.21955141478961),
HYDRANTOGD.3325188,3325188,POINT (16.46731103167458 48.193055498353026),
HYDRANTOGD.3325189,3325189,POINT (16.397702732313086 48.21777117281349),
HYDRANTOGD.3325190,3325190,POINT (16.434425545653202 48.161976039142004),
HYDRANTOGD.3325191,3325191,POINT (16.338532768206868 48.19662514717985),
HYDRANTOGD.3325192,3325192,POINT (16.338336127786416 48.19709444584075),
HYDRANTOGD.3325193,3325193,POINT (16.38490594403474 48.232022021514574),
HYDRANTOGD.3325194,3325194,POINT (16.419932151446805 48.272450293139165),
HYDRANTOGD.3325195,3325195,POINT (16.454668428728795 48.25227090570035),
HYDRANTOGD.3325196,3325196,POINT (16.369499817419385 48.23392924251192),
HYDRANTOGD.3325197,3325197,POINT (16.40859662812968 48.22040412516188),
HYDRANTOGD.3325198,3325198,POINT (16.283739732467502 48.20058282504796),
HYDRANTOGD.3325199,3325199,POINT (16.235627310599366 48.21255370491323),
HYDRANTOGD.3325200,3325200,POINT (16.392556111727757 48.21168858816232),
HYDRANTOGD.3325201,3325201,POINT (16.390052966067582 48.211120613266615),
HYDRANTOGD.3325202,3325202,POINT (16.394643877909242 48.268844261277344),
HYDRANTOGD.3325203,3325203,POINT (16.309962904063138 48.2160339329023),
HYDRANTOGD.3325204,3325204,POINT (16.330942271977925 48.19483159484638),
HYDRANTOGD.3325205,3325205,POINT (16.380504599254916 48.28919219233584),
HYDRANTOGD.3325206,3325206,POINT (16.40336603599552 48.25598278151277),
HYDRANTOGD.3325207,3325207,POINT (16.277885637054442 48.146015480084706),
HYDRANTOGD.3325208,3325208,POINT (16.34682239445035 48.253980423643526),
HYDRANTOGD.3325209,3325209,POINT (16.385004996102335 48.2768623185824),
HYDRANTOGD.3325210,3325210,POINT (16.42507213835061 48.1743124162045),
HYDRANTOGD.3325211,3325211,POINT (16.53511558434544 48.2314790398962),
HYDRANTOGD.3325212,3325212,POINT (16.333466461066333 48.184751321542095),
HYDRANTOGD.3325213,3325213,POINT (16.32918466212163 48.20478156901109),
HYDRANTOGD.3325214,3325214,POINT (16.44527930978713 48.261652950903446),
HYDRANTOGD.3325215,3325215,POINT (16.421151503616624 48.181715356565206),
HYDRANTOGD.3325216,3325216,POINT (16.306420732890427 48.22409644856113),
HYDRANTOGD.3325217,3325217,POINT (16.351745102045307 48.19878323731118),
HYDRANTOGD.3325218,3325218,POINT (16.24782253914621 48.220128203785706),
HYDRANTOGD.3325219,3325219,POINT (16.280394960793508 48.14800565705529),
HYDRANTOGD.3325220,3325220,POINT (16.364058302717357 48.232214338383166),
HYDRANTOGD.3325221,3325221,POINT (16.435273697587515 48.25451448379915),
HYDRANTOGD.3325222,3325222,POINT (16.35654689194294 48.20545526324846),
HYDRANTOGD.3325223,3325223,POINT (16.390117748041195 48.205300288399336),
HYDRANTOGD.3325224,3325224,POINT (16.400775145534254 48.279883119142774),
HYDRANTOGD.3325225,3325225,POINT (16.353498223925815 48.2334062179806),
HYDRANTOGD.3325226,3325226,POINT (16.35404148471587 48.21144556991553),
HYDRANTOGD.3325227,3325227,POINT (16.39111518270855 48.213945224025686),
HYDRANTOGD.3325228,3325228,POINT (16.350128694905376 48.21729401259749),
HYDRANTOGD.3325229,3325229,POINT (16.319793547039087 48.25211469613988),
HYDRANTOGD.3325230,3325230,POINT (16.445190461952382 48.23294286859669),
HYDRANTOGD.3325231,3325231,POINT (16.39288034483628 48.25565785538194),
HYDRANTOGD.3325232,3325232,POINT (16.428926496129826 48.24267576367664),
HYDRANTOGD.3325233,3325233,POINT (16.38728057589865 48.197130376790035),
HYDRANTOGD.3325234,3325234,POINT (16.383682449083235 48.144809370143186),
HYDRANTOGD.3325235,3325235,POINT (16.312155300186777 48.23864942538659),
HYDRANTOGD.3325236,3325236,POINT (16.270243769206353 48.16192051308466),
HYDRANTOGD.3325237,3325237,POINT (16.368979428952066 48.20571297907409),
HYDRANTOGD.3325238,3325238,POINT (16.454238048657647 48.14076764484874),
HYDRANTOGD.3325239,3325239,POINT (16.230306806631372 48.21604592845531),
HYDRANTOGD.3325240,3325240,POINT (16.410475131711873 48.275500953682005),
HYDRANTOGD.3325241,3325241,POINT (16.30212458727439 48.19320342958753),
HYDRANTOGD.3325242,3325242,POINT (16.376039120651463 48.24854409440025),
HYDRANTOGD.3325243,3325243,POINT (16.379375177208736 48.153530982958785),
HYDRANTOGD.3325244,3325244,POINT (16.295493805947334 48.195224571492716),
HYDRANTOGD.3325245,3325245,POINT (16.4423359026438 48.24890627479763),
HYDRANTOGD.3325246,3325246,POINT (16.468534245437972 48.22698340462118),
HYDRANTOGD.3325247,3325247,POINT (16.35404090299542 48.18211822156913),
HYDRANTOGD.3325248,3325248,POINT (16.246766345926144 48.20766431223454),
HYDRANTOGD.3325249,3325249,POINT (16.21621220427722 48.206791074704675),
HYDRANTOGD.3325250,3325250,POINT (16.486781646362754 48.24900914659583),
HYDRANTOGD.3325251,3325251,POINT (16.32750513495002 48.191004513828034),
HYDRANTOGD.3325252,3325252,POINT (16.352778149630815 48.15473975356548),
HYDRANTOGD.3325253,3325253,POINT (16.456698623453345 48.21527663884929),
HYDRANTOGD.3325254,3325254,POINT (16.26356000219364 48.217424185798144),
HYDRANTOGD.3325255,3325255,POINT (16.407580573753155 48.2540057111179),
HYDRANTOGD.3325256,3325256,POINT (16.29767752184263 48.183041143958796),
HYDRANTOGD.3325257,3325257,POINT (16.350150776256267 48.25065396005012),
HYDRANTOGD.3325258,3325258,POINT (16.256450701694472 48.21591240896107),
HYDRANTOGD.3325259,3325259,POINT (16.3748678110287 48.198891158863304),
HYDRANTOGD.3325260,3325260,POINT (16.3340057817772 48.20918797292123),
HYDRANTOGD.3325261,3325261,POINT (16.338649249690707 48.21409741511006),
HYDRANTOGD.3325262,3325262,POINT (16.41433513249375 48.172763671851165),
HYDRANTOGD.3325263,3325263,POINT (16.271262010620998 48.158619470439135),
HYDRANTOGD.3325264,3325264,POINT (16.348419353526097 48.13986902938868),
HYDRANTOGD.3325265,3325265,POINT (16.26954806088402 48.163753755245416),
HYDRANTOGD.3325266,3325266,POINT (16.26194085576051 48.15484819903755),
HYDRANTOGD.3325267,3325267,POINT (16.2875638952983 48.14990009985747),
HYDRANTOGD.3325268,3325268,POINT (16.37181569311783 48.221100343159705),
HYDRANTOGD.3325269,3325269,POINT (16.467150983294566 48.22533528655084),
HYDRANTOGD.3325270,3325270,POINT (16.381434371340436 48.21122560151482),
HYDRANTOGD.3325271,3325271,POINT (16.41475699040964 48.18880764940698),
HYDRANTOGD.3325272,3325272,POINT (16.534842817196605 48.25178043245579),
HYDRANTOGD.3325273,3325273,POINT (16.457228054680595 48.22277341133013),
HYDRANTOGD.3325274,3325274,POINT (16.260819635821143 48.182012074669245),
HYDRANTOGD.3325275,3325275,POINT (16.352284511327504 48.22041444498208),
HYDRANTOGD.3325276,3325276,POINT (16.34299030733197 48.17144644109748),
HYDRANTOGD.3325277,3325277,POINT (16.32229460126081 48.221350775870164),
HYDRANTOGD.3325278,3325278,POINT (16.285597189597635 48.22863970297901),
HYDRANTOGD.3325279,3325279,POINT (16.32687943886528 48.157130382912236),
HYDRANTOGD.3325280,3325280,POINT (16.29342490598011 48.16477072988492),
HYDRANTOGD.3325281,3325281,POINT (16.286663558211682 48.15247322983754),
HYDRANTOGD.3325282,3325282,POINT (16.473385481147712 48.207096341385906),
HYDRANTOGD.3325283,3325283,POINT (16.4051890816897 48.252609645122796),
HYDRANTOGD.3325284,3325284,POINT (16.37614675802002 48.16449462576652),
HYDRANTOGD.3325285,3325285,POINT (16.389986156261617 48.29108054356618),
HYDRANTOGD.3325286,3325286,POINT (16.415175516017403 48.28739543975775),
HYDRANTOGD.3325287,3325287,POINT (16.322718600509774 48.19928031824195),
HYDRANTOGD.3325288,3325288,POINT (16.40828768849394 48.27627305477265),
HYDRANTOGD.3325289,3325289,POINT (16.339687103514294 48.19459746805073),
HYDRANTOGD.3325290,3325290,POINT (16.459962517634146 48.22746851966995),
HYDRANTOGD.3325291,3325291,POINT (16.44758929168027 48.261599113134416),
HYDRANTOGD.3325292,3325292,POINT (16.442840497307774 48.27176050321302),
HYDRANTOGD.3325293,3325293,POINT (16.313262896574706 48.170762431520714),
