FID,OBJECTID,SHAPE,SE_ANNO_CAD_DATA
HYDRANTOGD.3324172,3324172,POINT (16.52744763179268 48.21771152280089),
HYDRANTOGD.3324173,3324173,POINT (16.415519367562247 48.23715441086142),
HYDRANTOGD.3324174,3324174,POINT (16.418593128789162 48.23384834475366),
HYDRANTOGD.3324175,3324175,POINT (16.336792383650785 48.20172976356247),
HYDRANTOGD.3324176,3324176,POINT (16.42039619866651 48.23501585890566),
HYDRANTOGD.3324177,3324177,POINT (16.41493063138306 48.16264747806523),
HYDRANTOGD.3324178,3324178,POINT (16.282751019211403 48.17411434540227),
HYDRANTOGD.3324179,3324179,POINT (16.312463291681706 48.187005443377835),
HYDRANTOGD.3324180,3324180,POINT (16.355672270265423 48.2025321545124),
HYDRANTOGD.3324181,3324181,POINT (16.45443564192134 48.22564513647037),
HYDRANTOGD.3324182,3324182,POINT (16.33506569408687 48.2240731227214),
HYDRANTOGD.3324183,3324183,POINT (16.471209851940465 48.223264229828246),
HYDRANTOGD.3324184,3324184,POINT (16.354899356470302 48.27328502675017),
HYDRANTOGD.3324185,3324185,POINT (16.317636093400836 48.233967778615835),
HYDRANTOGD.3324186,3324186,POINT (16.34908200007149 48.18589088149042),
HYDRANTOGD.3324187,3324187,POINT (16.361644259292536 48.17424357227271),
HYDRANTOGD.3324188,3324188,POINT (16.49247466947526 48.25947228782511),
HYDRANTOGD.3324189,3324189,POINT (16.487954441430492 48.29276087639137),
HYDRANTOGD.3324190,3324190,POINT (16.529717933489376 48.24222646865117),
HYDRANTOGD.3323543,3323543,POINT (16.30411938216969 48.23460328713553),
HYDRANTOGD.3323544,3323544,POINT (16.373138576840848 48.207852898697475),
HYDRANTOGD.3323545,3323545,POINT (16.293501590341435 48.1586528954991),
HYDRANTOGD.3323546,3323546,POINT (16.432088500768174 48.16343240375179),
HYDRANTOGD.3323547,3323547,POINT (16.492280077494787 48.23220073257405),
HYDRANTOGD.3323548,3323548,POINT (16.51290479785514 48.2042306223605),
HYDRANTOGD.3323549,3323549,POINT (16.365406769457522 48.25438555497768),
